"source,headline,pubDate,date,headline_length"
"MarketWatch,""Bitcoin’s weakness is saying there will be a handoff to old-economy stocks, these market veterans say"",,,101"
"MarketWatch,‘He even bragged about his Mercedes-Benz:’ I rejected two egotistical advisers. I managed my life savings and they tripled over 25 years. Did I do OK?,,,150"
"MarketWatch,Adidas gets hit with rare double downgrade as BofA calls the end of the ‘casualization’ trend,,,93"
"MarketWatch,‘It’s been a struggle getting payments from her’: I rent a house to our daughter. Do I just gift her the house?,,,111"
"MarketWatch,""Maduro’s rendition is a Franz Ferdinand moment spelling the end of the 60/40 portfolio, say these strategists"",,,109"
"MarketWatch,Aubrey Plaza delists $6.5 million home where her husband died,,,61"
"MarketWatch,""As AMD chases Nvidia, here’s how it’s positioning itself for the future of AI"",,,77"
"MarketWatch,Manchester United’s stock climbs after football club fires manager Ruben Amorim,,,79"
"MarketWatch,Under Armour has a new fan — in the firm founded by the ‘Warren Buffett of Canada’,,,82"
"MarketWatch,New weight-loss pill version of Novo Nordisk’s Wegovy is now available. Here’s how rival stocks Lilly and Viking are reacting.,,,126"
